STATE/UT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total
WEST BENGAL,2001,1418,1390,530,1908,96,7718,6,13066
WEST BENGAL,2002,1518,1388,546,1928,68,8138,2,13588
WEST BENGAL,2003,2004,1602,658,2372,142,9896,2,16676
WEST BENGAL,2004,2950,2036,792,3132,128,12668,24,21730
WEST BENGAL,2005,3372,2078,892,3144,108,13872,122,23588
WEST BENGAL,2006,3462,2398,890,3674,126,14828,2,25380
WEST BENGAL,2007,4212,3180,902,4562,198,19800,10,32864
WEST BENGAL,2008,4526,3814,902,4792,188,27326,10,41558
WEST BENGAL,2009,4672,4374,1012,3884,216,32224,10,46392
WEST BENGAL,2010,4622,5528,1014,4930,326,35592,16,52028
WEST BENGAL,2011,4726,7422,1020,4726,400,39544,0,57838
WEST BENGAL,2012,4092,8336,1186,6690,1112,39730,24,61170
WEST BENGAL,2013,3370,7660,962,9826,1154,36232,18,59222
WEST BENGAL,2014,6818,11808,1008,11692,1092,47128,10,79556
