State/UTs,Crime Heads,Below 18 Years,Between 18-30 Years,Between 30-45 Years,Between 45-60 Years,Above 60 Years,Total
KERALA,LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),0,14,4,2,0,20
MADHYA PRADESH,LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),2,80,37,8,1,128
MAHARASHTRA,LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),2,43,51,5,0,101
MANIPUR,LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),0,0,0,0,0,0
MEGHALAYA,LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),0,0,0,0,0,0
MIZORAM,LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),0,0,0,0,0,0
NAGALAND,LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),0,0,0,0,0,0
ORISSA,LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),0,4,5,0,0,9
PUNJAB,LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),2,35,39,0,0,76
RAJASTHAN,LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),1,27,13,3,0,44
SIKKIM,LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),0,0,0,0,0,0
TAMIL NADU,LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),0,13,10,11,1,35
TRIPURA,LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),1,6,1,0,0,8
UTTAR PRADESH,LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),0,38,10,0,0,48
UTTARAKHAND,LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),0,0,0,0,0,0
WEST BENGAL,LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),0,12,9,1,0,22
TOT (STATES),LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),10,440,298,41,3,792
A & N ISLANDS,LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),0,3,0,0,0,3
CHANDIGARH,LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),0,0,0,0,0,0
D & N HAVELI,LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),0,0,0,0,0,0
DAMAN & DIU,LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),0,0,0,0,0,0
DELHI,LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),0,11,9,3,0,23
LAKSHADWEEP,LOSS OR DAMAGE TO COMPUTER RESOURCE OR UTILITY (SECTION 66(1) IT ACT),0,0,0,0,0,0
