"STATE/UT","CRIME HEAD","YEAR","Below 18 Years","Between 18-30 Years","Between 30-45 Years","Between 45-60 Years","Above 60 Years","Total"
"TOTAL (STATES)","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2009,0,0,1,0,0,1
"A & N ISLANDS","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2009,0,0,0,0,0,0
"CHANDIGARH","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2009,0,0,0,0,0,0
"D & N HAVELI","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2009,0,0,0,0,0,0
"DAMAN & DIU","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2009,0,0,0,0,0,0
"DELHI","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2009,0,0,0,0,0,0
"LAKSHADWEEP","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2009,0,0,0,0,0,0
"PUDUCHERRY","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2009,0,0,0,0,0,0
"TOTAL (UTs)","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2009,0,0,0,0,0,0
"TOTAL (ALL-INDIA)","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2009,0,0,1,0,0,1
"ANDHRA PRADESH","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"ARUNACHAL PRADESH","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"ASSAM","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"BIHAR","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"CHHATTISGARH","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"GOA","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"GUJARAT","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"HARYANA","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"HIMACHAL PRADESH","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"JAMMU & KASHMIR","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"JHARKHAND","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"KARNATAKA","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"KERALA","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"MADHYA PRADESH","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"MAHARASHTRA","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"MANIPUR","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"MEGHALAYA","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"MIZORAM","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"NAGALAND","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"ORISSA","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"PUNJAB","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"RAJASTHAN","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"SIKKIM","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"TAMIL NADU","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"TRIPURA","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"UTTAR PRADESH","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"UTTARAKHAND","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"WEST BENGAL","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"TOTAL (STATES)","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"A & N ISLANDS","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"CHANDIGARH","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"D & N HAVELI","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"DAMAN & DIU","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"DELHI","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"LAKSHADWEEP","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"PUDUCHERRY","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"TOTAL (UTs)","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"TOTAL (ALL-INDIA)","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2009,0,0,0,0,0,0
"ANDHRA PRADESH","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"ARUNACHAL PRADESH","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"ASSAM","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"BIHAR","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"CHHATTISGARH","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,3,0,0,0,3
"GOA","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"GUJARAT","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,2,0,0,0,2
"HARYANA","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"HIMACHAL PRADESH","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"JAMMU & KASHMIR","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"JHARKHAND","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"KARNATAKA","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"KERALA","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"MADHYA PRADESH","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"MAHARASHTRA","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"MANIPUR","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"MEGHALAYA","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"MIZORAM","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"NAGALAND","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"ORISSA","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"PUNJAB","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"RAJASTHAN","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"SIKKIM","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"TAMIL NADU","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"TRIPURA","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"UTTAR PRADESH","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,1,0,0,1
"UTTARAKHAND","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"WEST BENGAL","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"TOTAL (STATES)","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,5,1,0,0,6
"A & N ISLANDS","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"CHANDIGARH","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"D & N HAVELI","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"DAMAN & DIU","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"DELHI","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"LAKSHADWEEP","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"PUDUCHERRY","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"TOTAL (UTs)","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,0,0,0,0,0
"TOTAL (ALL-INDIA)","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2009,0,5,1,0,0,6
"ANDHRA PRADESH","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"ARUNACHAL PRADESH","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"ASSAM","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"BIHAR","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"CHHATTISGARH","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"GOA","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"GUJARAT","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"HARYANA","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"HIMACHAL PRADESH","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"JAMMU & KASHMIR","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"JHARKHAND","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"KARNATAKA","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"KERALA","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"MADHYA PRADESH","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"MAHARASHTRA","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"MANIPUR","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"MEGHALAYA","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"MIZORAM","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"NAGALAND","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"ORISSA","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"PUNJAB","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,1,0,0,0,1
"RAJASTHAN","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"SIKKIM","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"TAMIL NADU","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"TRIPURA","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"UTTAR PRADESH","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,2,2,0,0,4
"UTTARAKHAND","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"WEST BENGAL","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"TOTAL (STATES)","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,3,2,0,0,5
"A & N ISLANDS","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"CHANDIGARH","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"D & N HAVELI","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"DAMAN & DIU","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"DELHI","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"LAKSHADWEEP","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"PUDUCHERRY","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"TOTAL (UTs)","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,0,0,0,0,0
"TOTAL (ALL-INDIA)","BREACH OF CONFIDENTIALITY OR PRIVACY (SECTION 72 IT ACT)",2009,0,3,2,0,0,5
"ANDHRA PRADESH","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"ARUNACHAL PRADESH","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"ASSAM","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"BIHAR","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"CHHATTISGARH","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"GOA","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"GUJARAT","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"HARYANA","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"HIMACHAL PRADESH","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"JAMMU & KASHMIR","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"JHARKHAND","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"KARNATAKA","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"KERALA","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"MADHYA PRADESH","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"MAHARASHTRA","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"MANIPUR","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"MEGHALAYA","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"MIZORAM","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"NAGALAND","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"ORISSA","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"PUNJAB","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"RAJASTHAN","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"SIKKIM","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"TAMIL NADU","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"TRIPURA","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"UTTAR PRADESH","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"UTTARAKHAND","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"WEST BENGAL","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"TOTAL (STATES)","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"A & N ISLANDS","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"CHANDIGARH","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"D & N HAVELI","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"DAMAN & DIU","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"DELHI","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"LAKSHADWEEP","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"PUDUCHERRY","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"TOTAL (UTs)","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"TOTAL (ALL-INDIA)","OTHER SECTIONS OF IT ACT",2009,0,0,0,0,0,0
"ANDHRA PRADESH","TOTAL IT ACT",2009,0,6,2,0,0,8
"ARUNACHAL PRADESH","TOTAL IT ACT",2009,0,0,1,0,0,1
"ASSAM","TOTAL IT ACT",2009,0,0,0,0,0,0
"BIHAR","TOTAL IT ACT",2009,0,0,0,0,0,0
"CHHATTISGARH","TOTAL IT ACT",2009,0,4,3,0,0,7
"GOA","TOTAL IT ACT",2009,0,0,3,0,0,3
"GUJARAT","TOTAL IT ACT",2009,0,9,1,1,0,11
"HARYANA","TOTAL IT ACT",2009,0,0,0,0,0,0
"HIMACHAL PRADESH","TOTAL IT ACT",2009,0,0,5,0,0,5
"JAMMU & KASHMIR","TOTAL IT ACT",2009,0,0,0,0,0,0
"JHARKHAND","TOTAL IT ACT",2009,0,0,0,0,0,0
"KARNATAKA","TOTAL IT ACT",2009,0,9,10,2,0,21
"KERALA","TOTAL IT ACT",2009,4,25,16,2,0,47
"MADHYA PRADESH","TOTAL IT ACT",2009,0,20,4,0,0,24
"MAHARASHTRA","TOTAL IT ACT",2009,6,50,21,1,0,78
"MANIPUR","TOTAL IT ACT",2009,0,0,0,0,0,0
"MEGHALAYA","TOTAL IT ACT",2009,0,0,0,0,0,0
"MIZORAM","TOTAL IT ACT",2009,0,0,0,0,0,0
"NAGALAND","TOTAL IT ACT",2009,0,0,0,0,0,0
"ORISSA","TOTAL IT ACT",2009,0,1,0,0,0,1
"PUNJAB","TOTAL IT ACT",2009,0,12,4,1,0,17
"RAJASTHAN","TOTAL IT ACT",2009,0,20,0,0,0,20
"SIKKIM","TOTAL IT ACT",2009,0,0,0,0,0,0
"TAMIL NADU","TOTAL IT ACT",2009,0,5,4,1,1,11
"TRIPURA","TOTAL IT ACT",2009,0,0,0,0,0,0
"UTTAR PRADESH","TOTAL IT ACT",2009,0,15,9,0,0,24
"UTTARAKHAND","TOTAL IT ACT",2009,0,4,0,0,0,4
"WEST BENGAL","TOTAL IT ACT",2009,0,2,0,0,0,2
"TOTAL (STATES)","TOTAL IT ACT",2009,10,182,83,8,1,284
"A & N ISLANDS","TOTAL IT ACT",2009,0,0,0,0,0,0
"CHANDIGARH","TOTAL IT ACT",2009,0,2,0,0,0,2
"D & N HAVELI","TOTAL IT ACT",2009,0,0,0,0,0,0
"DAMAN & DIU","TOTAL IT ACT",2009,0,0,0,0,0,0
"DELHI","TOTAL IT ACT",2009,0,2,0,0,0,2
"LAKSHADWEEP","TOTAL IT ACT",2009,0,0,0,0,0,0
"PUDUCHERRY","TOTAL IT ACT",2009,0,0,0,0,0,0
"TOTAL (UTs)","TOTAL IT ACT",2009,0,4,0,0,0,4
"TOTAL (ALL-INDIA)","TOTAL IT ACT",2009,10,186,83,8,1,288
"ANDHRA PRADESH","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"ARUNACHAL PRADESH","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"ASSAM","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"BIHAR","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"CHHATTISGARH","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"GOA","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"GUJARAT","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"HARYANA","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"HIMACHAL PRADESH","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"JAMMU & KASHMIR","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"JHARKHAND","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"KARNATAKA","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"KERALA","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"MADHYA PRADESH","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"MAHARASHTRA","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"MANIPUR","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"MEGHALAYA","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"MIZORAM","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"NAGALAND","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"ORISSA","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"PUNJAB","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"RAJASTHAN","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"SIKKIM","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"TAMIL NADU","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"TRIPURA","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"UTTAR PRADESH","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"UTTARAKHAND","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"WEST BENGAL","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"TOTAL (STATES)","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
"A & N ISLANDS","OFFENCES BY OR AGAINST PUBLIC SERVANT (SECTION 167, 172, 173, 175 IPC)",2009,0,0,0,0,0,0
